match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5515468830,1,4,1,200,-1053.49420454615,46.908660300467,-0.23930119541849207,-1.9624458874458874
NA1_5519123968,1,5,-1,1050,-979.416821754487,29.456928549423,0.27161904158156563,-0.22857142857142856
NA1_5519075954,1,6,1,850,-389.155189047708,828.758575874711,0.2240231228323741,-0.3764069264069264
NA1_5515789067,1,5,1,-450,650.183569265951,-768.589947877596,-0.061986461251167135,-0.26666666666666666
NA1_5517612350,0,5,1,350,-575.473173901525,481.777756462924,0.13314494595943058,-0.32857142857142857
NA1_5516526452,1,4,0,150,455.978678657825,-109.106560281669,-0.4169400376363481,-1.0589285714285714
NA1_5518767580,0,7,1,-230,20.0380692661211,-948.593361003769,-0.08260515623529682,0.4373015873015873
NA1_5512544195,1,5,1,-330,-617.729785431232,-210.422472529986,-0.048888470546809,0.1956357239251976
NA1_5518943207,1,4,0,-650,998.068618841533,15.859351387231,0.13372707346660748,-0.9059120617944147
NA1_5519092062,0,4,-1,1150,-2308.12277758645,605.674832399063,-0.3488509834728646,-0.6666666666666666
NA1_5518809236,0,5,0,-375,1864.88343378216,492.123122976214,0.004003738367835731,0.15555555555555556
NA1_5510252995,0,4,1,-425,939.007715664815,209.105651880619,0.012454169942302196,1.2443001443001442
NA1_5519131255,0,5,0,-250,1568.34762295494,-415.119885617766,0.22324382630814418,-0.4666666666666667
NA1_5515769189,1,5,-1,625,-1294.03370367924,-376.873029378778,0.47610428907828706,0.75
NA1_5519100374,0,3,-1,-325,-336.726264813647,909.957274644025,-0.12971419227465814,0.005537518037518037
NA1_5519184392,1,3,2,-475,-789.963253940917,-59.881400296019,-0.10893797134204669,-0.07954545454545454
NA1_5506366349,1,5,3,0,-1268.84146895501,-332.757843211594,0.21597549681024314,0.0
NA1_5517751358,0,5,1,-30,23.5088334402576,-778.554803962366,0.36686837637315917,1.2904761904761906
NA1_5519110625,0,5,2,-100,-39.1764121888436,557.036671271508,0.07880684953603477,-0.6916666666666667
NA1_5516836828,1,4,0,-325,1291.07420456632,97.198219144541,-0.011324686855422962,2.3045454545454547
NA1_5519085784,0,4,1,-525,33.791648597346,253.160086922686,-0.17250212481317131,0.06666666666666667
NA1_5519094015,0,2,-2,800,-1522.0199228329,481.150220167763,-0.044430638105424594,0.503030303030303
NA1_5518826044,0,3,0,-25,914.3866308631,-79.234738813265,-0.10349425147581227,-0.1
NA1_5519107003,1,4,2,425,-863.117683399392,934.613743213326,-0.1086160363723566,0.14285714285714285
NA1_5519343318,0,5,0,50,-172.587511201307,-9.433435811695,-0.01034378461002943,-0.3472222222222222
NA1_5517350219,1,4,0,625,-1335.02725003715,481.102740096738,0.2006664509465821,0.12121212121212122
NA1_5517823466,0,5,1,-75,564.219425562206,-54.722867417391,0.09474454748588829,-0.22857142857142856
NA1_5519178023,0,6,0,650,-1778.31900038236,-54.99505390027,0.4615467371039737,-0.20952380952380953
NA1_5519141841,0,6,0,75,-365.998453899954,52.822790612537,0.10112795069456416,0.19523809523809524
NA1_5519058484,0,3,-1,-75,380.57457110231,-84.307936238851,0.050856076899693015,0.7224617383185158
NA1_5519110449,1,4,-1,700,-1069.91731676147,-566.921904153154,0.07429290217137385,1.5758241758241758
NA1_5515437575,1,6,1,-475,693.432958571429,-262.154129706865,0.10040774847426204,-0.2812853812853813
NA1_5517382660,1,4,1,775,-2455.8240340475,201.137140126481,0.05544105170457637,0.40476190476190477
NA1_5519053594,0,3,1,-225,-298.950617815106,610.704617982996,0.14128604834027628,-0.652958152958153
NA1_5519214112,0,7,2,-275,886.403985204184,-506.582355489141,-0.06586107959226871,0.2795093795093795
NA1_5518512426,0,5,1,-750,539.947430908681,-724.220430313761,0.15430562052823804,-0.3
NA1_5519140713,1,4,1,-125,-723.707830026989,-384.647691812057,-0.058531991929439434,-0.34545454545454546
NA1_5519278501,1,6,1,225,449.245701681222,-165.983975400195,0.1422652345032619,0.2523809523809524
NA1_5517095084,1,3,0,405,-1128.50591619403,-163.450307319293,0.1696198470024714,0.0
NA1_5519149657,0,3,0,-75,-781.554549121166,383.480499612435,-0.27407300351868746,-1.3865079365079365
NA1_5519121904,0,4,0,225,-1883.94715717596,49.402011575439,-0.1376607308559056,-0.06666666666666667
NA1_5518570695,0,7,2,-1075,1430.6605705863,28.572064121131,0.2624978316093175,0.15173160173160175
NA1_5519112763,0,6,2,-75,-694.894836767426,328.331555962923,-0.0631727804030274,0.3
NA1_5519066912,0,5,3,-450,1565.76789690106,254.671552361724,-0.09208460244830043,0.18787878787878787
NA1_5518570551,0,3,0,100,-782.938476161291,-658.16716474976,-0.031155921063762665,-0.24523809523809523
NA1_5519036182,1,4,1,475,615.148356705794,77.094310165367,0.015469459321694,-0.3
NA1_5519130946,0,4,-1,-825,1811.33314331602,-20.082840709151,-0.13808452065270074,-1.155044955044955
